delta_name,delta_value,bid,P0_1M,net_gain_if_accepted,uplift_pct_vs_base_if_accepted,fee_roi_if_accepted,q_weighted,EV_weighted,EV_uplift_weighted,q_low,EV_low,EV_uplift_low,q_central,EV_central,EV_uplift_central,q_high,EV_high,EV_uplift_high,q_stress,EV_stress,EV_uplift_stress,EV_uplift_pessimistic,EV_pessimistic
central,1609.833333333343,0,102898.83333333333,1609.833333333343,0.01564481618677254,,0.009201111608921037,102913.64558950509,14.81225617176147,0.03444519566621117,102954.28435748999,55.45102415665595,0.0066928509242848554,102909.60770784627,10.774374512944634,0.003287661385934009,102904.12592022112,5.292586887789464,0.0024726231566347743,102902.81384451165,3.9805111783225717,4.767756604002707,102903.60108993734
central,1609.833333333343,10,102898.83333333333,1599.833333333343,0.015547633355091585,159.98333333333431,0.03447175628194731,102953.98239809173,55.149064758402375,0.15886910488091516,103152.99742295865,254.16408962531898,0.02005753653785041,102930.92204887113,32.088715537804546,0.0066928509242848554,102909.54077933703,10.707446003701786,0.004070137715896128,102905.34487532248,6.511541989147861,9.029084397880215,102907.86241773122
central,1609.833333333343,20,102898.83333333333,1589.833333333343,0.01545045052341063,79.49166666666716,0.1034917638715132,103063.36798926172,164.53465592839507,0.5,103693.75,794.9166666666715,0.0585369028743679,102991.8972527531,93.06391941976646,0.013576916943744367,102920.4183684544,21.58503512106305,0.0066928509242848554,102909.47385082778,10.640517494458937,17.207228070421408,102916.04056140374
central,1609.833333333343,30,102898.83333333333,1579.833333333343,0.015353267691729674,52.66111111111143,0.19956935365367265,103214.11965054719,315.28631721386245,0.8411308951190849,104227.67995913897,1328.8466258056424,0.15886910488091516,103149.82004086103,250.98670752770067,0.027346786796182875,102942.0366986735,43.203365340169846,0.01098694263059318,102916.19087153256,17.35753819923223,32.865034483794794,102931.69836781712
central,1609.833333333343,40,102898.83333333333,1569.833333333343,0.01525608486004872,39.24583333333358,0.30965570828083,103384.94118604952,486.1078527161926,0.9655548043337889,104414.59345033666,1515.7601170033356,0.3645764407416393,103471.15758255759,572.3242492242537,0.05431326613264062,102984.09610895056,85.2627756172242,0.01798620996209156,102927.06868527216,28.235351938823573,62.451806145863934,102961.2851394792
central,1609.833333333343,50,102898.83333333333,1559.833333333343,0.015158902028367763,31.19666666666686,0.43906250618348447,103583.6976658952,684.8643325618762,0.9933071490757153,104448.22693469994,1549.3936013666128,0.6354235592583607,103889.98818184984,991.1548485165058,0.10500058502026482,103062.61674586745,163.78341253411077,0.02931223075135632,102944.55552793365,45.72219460032425,116.55892536059616,103015.39225869393
central,1609.833333333343,60,102898.83333333333,1549.833333333343,0.015061719196686809,25.830555555555716,0.5513719975254994,103753.36803416493,854.5347008316085,0.9987289837369187,104446.69680329494,1547.8634699616107,0.8411308951190849,104202.4460322854,1303.6126989520699,0.1933213698023087,103198.4492362986,299.61590296528,0.04742587317756678,102972.33553244636,73.50219911303272,209.17042142438106,103108.00375475771
central,1609.833333333343,75,102898.83333333333,1534.833333333343,0.014915944949165375,20.464444444444574,0.6740040860391345,103933.31727138907,1034.4839380557382,0.9998955467677858,104433.5063483641,1534.6730150307662,0.9655548043337889,104380.79903218498,1481.965698851653,0.41165137518528216,103530.6495856802,631.8162523468812,0.09534946489910949,103045.17887037598,146.34553704265082,437.6279662251891,103336.46129955852
central,1609.833333333343,100,102898.83333333333,1509.833333333343,0.014672987869962987,15.09833333333343,0.8314592889687681,104154.19828312802,1255.3649497946865,0.9999983804058309,104408.6642213494,1509.83088801608,0.997786824107717,104405.32513993197,1506.4918065986444,0.8066786301976913,104116.78361849349,1217.9502851601553,0.2689414213699951,103304.8900560318,406.0567226984669,893.1928601754798,103792.0261935088
central,1609.833333333343,125,102898.83333333333,1484.833333333343,0.0144300307907606,11.878666666666744,0.9226818185018496,104268.8620535055,1370.028720172172,0.999999974890009,104383.66662938253,1484.8332960491914,0.9998621062079837,104383.46191736782,1484.6285840344974,0.9613683488409503,104326.30510330401,1427.4717699706805,0.5621765008857981,103733.57174106526,834.7384077319347,1190.378425075182,104089.2117584085
central,1609.833333333343,150,102898.83333333333,1459.833333333343,0.014187073711558211,9.732222222222287,0.9706248861471363,104315.7838962938,1416.9505629604705,0.9999999996106983,104358.66666609836,1459.8333327650275,0.9999914251344262,104358.65414879208,1459.8208154587496,0.9933071490757153,104348.89621979237,1450.0628864590412,0.8175744761936437,104092.35580616335,1193.5224728300286,1347.4467210074363,104246.28005434076
central,1609.833333333343,175,102898.83333333333,1434.833333333343,0.013944116632355823,8.199047619047674,0.9906482315871736,104320.24843762233,1421.415104289006,0.9999999999939644,104333.66666665801,1434.8333333246828,0.9999994668403771,104333.66590167147,1434.832568338144,0.9988714745934305,104332.04742079582,1433.2140874624836,0.9399133498259924,104247.45233810866,1348.6190047753373,1399.3760543876251,104298.20938772096
central,1609.833333333343,200,102898.83333333333,1409.833333333343,0.013701159553153435,7.049166666666715,0.9972452334625133,104304.78290497657,1405.949571643243,0.9999999999999065,104308.66666666654,1409.8333333332112,0.9999999668499713,104308.66661993065,1409.8332865973275,0.9998105940561749,104308.39963585354,1409.566302520207,0.9820137900379085,104283.30910832179,1384.475774988454,1399.5300915075059,104298.36342484083
