day,timestamp,global_ts,product,side,price,quantity,source
-2,700,700,ASH_COATED_OSMIUM,BUY,9990,6,MARKET_TRADE
-2,900,900,ASH_COATED_OSMIUM,BUY,9998,8,AGGRESSIVE
-2,2500,2500,ASH_COATED_OSMIUM,SELL,10011,8,MARKET_TRADE
-2,6100,6100,ASH_COATED_OSMIUM,SELL,10013,8,MARKET_TRADE
-2,8000,8000,ASH_COATED_OSMIUM,SELL,10006,6,AGGRESSIVE
-2,10400,10400,ASH_COATED_OSMIUM,SELL,10007,5,AGGRESSIVE
-2,12900,12900,ASH_COATED_OSMIUM,BUY,10001,9,MARKET_TRADE
-2,13800,13800,ASH_COATED_OSMIUM,SELL,10017,3,MARKET_TRADE
-2,15000,15000,ASH_COATED_OSMIUM,SELL,10016,3,MARKET_TRADE
-2,15100,15100,ASH_COATED_OSMIUM,SELL,10016,5,MARKET_TRADE
-2,15900,15900,ASH_COATED_OSMIUM,BUY,9995,9,MARKET_TRADE
-2,17400,17400,ASH_COATED_OSMIUM,SELL,10014,4,MARKET_TRADE
-2,18400,18400,ASH_COATED_OSMIUM,SELL,10018,4,MARKET_TRADE
-2,21800,21800,ASH_COATED_OSMIUM,BUY,10004,8,AGGRESSIVE
-2,23800,23800,ASH_COATED_OSMIUM,BUY,10003,7,AGGRESSIVE
-2,24000,24000,ASH_COATED_OSMIUM,SELL,10013,6,MARKET_TRADE
-2,24900,24900,ASH_COATED_OSMIUM,SELL,10006,4,AGGRESSIVE
-2,28700,28700,ASH_COATED_OSMIUM,SELL,10011,2,MARKET_TRADE
-2,28800,28800,ASH_COATED_OSMIUM,SELL,10011,10,MARKET_TRADE
-2,30700,30700,ASH_COATED_OSMIUM,SELL,10012,6,MARKET_TRADE
-2,33000,33000,ASH_COATED_OSMIUM,SELL,10013,9,MARKET_TRADE
-2,36000,36000,ASH_COATED_OSMIUM,SELL,10006,10,AGGRESSIVE
-2,36600,36600,ASH_COATED_OSMIUM,BUY,9997,6,MARKET_TRADE
-2,36700,36700,ASH_COATED_OSMIUM,SELL,10012,8,MARKET_TRADE
-2,38300,38300,ASH_COATED_OSMIUM,BUY,10006,5,AGGRESSIVE
-2,40500,40500,ASH_COATED_OSMIUM,BUY,9997,2,MARKET_TRADE
