timestamp;buyer;seller;symbol;currency;price;quantity
600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5000.0;5
1500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5011.0;3
2300;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5001.0;4
3700;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;7
4400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5003.0;3
4600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4998.0;2
5800;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;7
6100;BOT;SUBMISSION;TOMATOES;XIRECS;5003.0;3
6700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5010.0;3
6800;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
6900;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4998.0;5
7200;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4997.0;3
9500;BOT;SUBMISSION;TOMATOES;XIRECS;5007.0;7
10600;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5015.0;4
10900;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;8
11400;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;8
11800;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5005.0;4
12300;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;10
12800;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;8
12900;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;5
13100;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;7
14600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5003.0;4
16100;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;7
17300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5004.0;4
18900;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;9
19900;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;6
20400;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;5
20700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5010.0;5
20900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;7
21900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
23100;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4999.0;3
23500;SUBMISSION;BOT;TOMATOES;XIRECS;5002.0;5
23700;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
24300;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5009.0;5
26000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5011.0;2
27500;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4999.0;2
30900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
34800;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5012.0;3
35800;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;6
36000;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;9
36300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
37700;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
37700;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5003.0;4
38800;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;8
41300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
41400;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5010.0;3
41500;BOT;SUBMISSION;TOMATOES;XIRECS;5014.0;3
42700;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5011.0;2
43300;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;9
45500;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5007.0;2
48200;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;10
48700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5017.0;2
50800;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5021.0;5
51200;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;10
51400;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5021.0;2
51600;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;7
51700;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5023.0;2
52400;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;5
53500;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5013.0;2
55200;SUBMISSION;BOT;TOMATOES;XIRECS;5017.0;2
55900;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;7
57800;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
58000;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5009.0;5
58100;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;7
58600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5009.0;5
59300;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;9
59600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5010.0;5
63500;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;10
64000;BOT;SUBMISSION;TOMATOES;XIRECS;5016.0;12
64800;SUBMISSION;BOT;TOMATOES;XIRECS;5016.0;2
66300;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;7
66700;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;10
66900;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5020.0;5
68300;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5021.0;2
68400;SUBMISSION;BOT;TOMATOES;XIRECS;5016.0;3
71100;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;10
71700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5026.0;5
72100;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;5
73100;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;7
73300;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;5
75300;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5024.0;4
75600;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5012.0;4
75700;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;10000.0;6
76300;SUBMISSION;BOT;TOMATOES;XIRECS;5017.0;5
76900;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5013.0;4
78400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5013.0;3
78500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5013.0;3
78600;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5026.0;4
79000;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;5
80300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
81500;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5014.0;4
81900;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5013.0;4
82700;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;7
84500;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;8
85100;BOT;SUBMISSION;TOMATOES;XIRECS;5015.0;3
85400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5014.0;2
85400;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5011.0;3
86600;BOT;SUBMISSION;TOMATOES;XIRECS;5013.0;5
88100;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;8
89900;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;10
90200;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5006.0;5
90500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5017.0;4
91700;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;4
91700;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5007.0;4
92900;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;7
93400;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;10
94600;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;7
96100;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;10000.0;3
96600;BOT;SUBMISSION;EMERALDS;XIRECS;10000.0;9
97000;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5010.0;5
98700;SUBMISSION;BOT;EMERALDS;XIRECS;10000.0;10
98700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5018.0;3
