speed,pmf_type_ai,pmf_type_nash,pmf_type_just_above,pmf_type_classic,pmf_type_naive,pmf_type_high_speed,pmf_type_random,pmf_total_mixture
0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
1,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
2,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
3,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
4,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
5,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
6,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
7,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
8,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
9,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
10,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
11,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
12,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
13,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
14,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
15,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
16,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
17,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0004950495049504951
18,0.0,0.0,0.0,0.0,0.007242948513370136,0.0,0.009900990099009901,0.0012193443562875089
19,0.0,0.0,0.0,0.0,0.009056933858071891,0.0,0.009900990099009901,0.0014007428907576842
20,0.0023180846987113524,0.0,0.0,0.14,0.011318389647623895,0.0,0.009900990099009901,0.016322313879326294
21,0.006979468220384368,0.0,0.08,0.0,0.014114419464464952,0.0,0.009900990099009901,0.016000331917512302
22,0.016446661506431457,0.0,0.0,0.0,0.017531099060358775,0.0,0.009900990099009901,0.00718215786291581
23,0.030334788357303192,0.0,0.0,0.0,0.02164005412983515,0.0,0.009900990099009901,0.011759491425124969
24,0.043797139281057024,0.0,0.0,0.0,0.026477824969136383,0.0,0.009900990099009901,0.01628197378618124
25,0.04950137098202718,0.0,0.0,0.15,0.03201799508708411,0.0,0.009900990099009901,0.03354726030826706
26,0.04380436069047203,0.0,0.1,0.0,0.038139021771549333,0.0,0.009900990099009901,0.03245025988924703
27,0.030393255953757383,0.0,0.0,0.0,0.0445952888563517,0.0,0.009900990099009901,0.014072555176712881
28,0.0168142123905599,0.0016427728553232,0.0,0.0,0.051003899773735956,0.0,0.009900990099009901,0.011017540956216397
29,0.008786907600910006,0.0024335719817184507,0.0,0.0,0.0568621247159835,0.0,0.009900990099009901,0.00937705581261709
30,0.009272338794232202,0.0037482934329330225,0.0,0.0,0.06160606960938464,0.0,0.009900990099009901,0.010299465593733216
31,0.021540884440250957,0.005908710380617857,0.14,0.0,0.06470764229180911,0.0,0.009900990099009901,0.0357870824537488
32,0.049462501083819825,0.009337142765639232,0.0,0.0,0.06578759634190391,0.0,0.009900990099009901,0.024060102300383857
33,0.09102384573139022,0.0145066238940218,0.0,0.16,0.06470764229180917,0.0,0.009900990099009901,0.053609490949173486
34,0.13139368137687504,0.021828590687509416,0.0,0.12,0.06160606960938452,0.0,0.009900990099009901,0.06309433673707862
35,0.148502225253931,0.03148265634789811,0.16,0.08,0.05686212471598356,0.0,0.009900990099009901,0.08997294051274472
36,0.13139127424040334,0.04322729842663053,0.16,0.0,0.05100389977373593,0.0,0.009900990099009901,0.07895510039257012
37,0.09100435653257216,0.05626412610441881,0.0,0.0,0.0445952888563517,0.0,0.009900990099009901,0.04519663435437364
38,0.049339984122443656,0.06923948264220503,0.0,0.0,0.038139021771549333,0.0,0.009900990099009901,0.035036027926545685
39,0.020938404646742466,0.08043678355378053,0.0,0.0,0.03201799508708411,0.0,0.009900990099009901,0.02847883062505117
40,0.006954254095725248,0.08814199734870747,0.0,0.18,0.026477824969136456,0.0,0.009900990099009901,0.04350176762078443
41,0.0,0.09108102707329958,0.18,0.0,0.02164005412983508,0.0,0.009900990099009901,0.05060769114479291
42,0.0,0.08877605623362357,0.0,0.0,0.01753109906035876,0.0,0.009900990099009901,0.022666652344719797
43,0.0,0.08168317257509232,0.0,0.0,0.014114419464464973,0.0,0.009900990099009901,0.020693621143668225
44,0.0,0.07105597823254728,0.0,0.0,0.011318389647623888,0.0,0.009900990099009901,0.017969763463198757
45,0.0,0.05859038021137317,0.0,0.0,0.009056933858071919,0.0,0.009900990099009901,0.014876530339373518
46,0.0,0.04598816005026458,0.12,0.0,0.007242948513370133,0.0,0.009900990099009901,0.029796621167848363
47,0.0,0.03459218989980945,0.0,0.0,0.005795913895694886,0.0,0.009900990099009901,0.009030844571476158
48,0.0,0.025194492499341924,0.0,0.0,0.004645419194153609,0.0,0.009900990099009901,0.0067543246992145
49,0.0,0.01803472224684663,0.0,0.0,0.003732114323899956,0.0,0.009900990099009901,0.0050162470541152155
50,0.0,0.012935679369108824,0.0,0.17,0.003007216381925817,0.014489359283001461,0.009900990099009901,0.021785232547848213
