v,mean_pnl,mean_multiplier,p_higher,quantal_prob,field
0,24614.799528500167,0.10051433714800051,0.9993570785649993,0.0,non_rational_only
1,24022.625466727317,0.10102867429600104,0.9987141571299987,0.0,non_rational_only
2,23420.534317882615,0.10154301144400146,0.9980712356949981,0.0,non_rational_only
3,22808.52608196622,0.102057348592002,0.9974283142599975,0.0,non_rational_only
4,22195.512885271062,0.10257168574000253,0.9967853928249968,0.0,non_rational_only
5,21577.02407341535,0.10308602288800306,0.9961424713899961,0.0,non_rational_only
6,20948.750981364166,0.10360036003600359,0.9954995499549955,0.0,non_rational_only
7,20310.693609117443,0.10411469718400401,0.9948566285199949,0.0,non_rational_only
8,19662.85195667534,0.10462903433200454,0.9942137070849942,0.0,non_rational_only
9,19012.839702230558,0.10514337148000508,0.9935707856499936,0.0,non_rational_only
10,18359.714118857373,0.10565770862800561,0.9929278642149929,0.0,non_rational_only
11,17696.94296659554,0.10617204577600614,0.9922849427799922,0.0,non_rational_only
12,17024.526245445042,0.10668638292400667,0.9916420213449917,0.0,non_rational_only
13,16342.463955405881,0.1072007200720072,0.990999099909991,0.0,non_rational_only
14,15657.526911509733,0.10771505722000774,0.9903561784749904,0.0,non_rational_only
15,14971.479015271863,0.10822939436800827,0.9897132570399897,0.0,non_rational_only
16,14275.930715416376,0.1087437315160088,0.989070335604989,0.0,non_rational_only
17,13570.882011943184,0.10925806866400922,0.9884274141699885,0.0,non_rational_only
18,13287.2269751805,0.11052491994326907,0.9868438500709137,0.0,non_rational_only
19,13092.982860420721,0.11198023723236794,0.9850247034595401,0.0,non_rational_only
20,21476.024144042924,0.12893848541868091,0.9638268932266488,0.0,non_rational_only
21,29368.444550604632,0.14556220689142096,0.9430472413857237,0.0,non_rational_only
22,32046.50499856127,0.15302418908665827,0.9337197636416772,0.0,non_rational_only
23,37095.55879024377,0.16524184251535945,0.9184476968558006,0.0,non_rational_only
24,44367.88400649896,0.1821581789165867,0.8973022763542666,0.0,non_rational_only
25,60485.96266198126,0.2170124753407603,0.8537344058240496,0.0,non_rational_only
26,75411.31819277532,0.25072703106984806,0.8115912111626898,0.0,non_rational_only
27,80354.44323317253,0.2653478676170823,0.7933151654786471,0.0,non_rational_only
28,83316.11619006688,0.27640210470746374,0.7794973691156704,0.0016427728553232,non_rational_only
29,85205.49625595505,0.28556297146779797,0.7680462856652525,0.0024335719817184507,non_rational_only
30,87258.11613132979,0.2953680188487421,0.7557899764390724,0.0037482934329330225,non_rational_only
31,100976.84311352021,0.3311374516448009,0.7110781854439988,0.005908710380617857,non_rational_only
32,108253.75783920882,0.35390374719211193,0.6826203160098601,0.009337142765639232,non_rational_only
33,128049.00293473114,0.4061354016893052,0.6173307478883685,0.0145066238940218,non_rational_only
34,150456.26980761377,0.4664717766284756,0.5419102792144055,0.021828590687509416,non_rational_only
35,182645.8268336192,0.5524270281118294,0.4344662148602132,0.03148265634789811,non_rational_only
36,207477.7064145651,0.6241286611034607,0.3448391736206742,0.04322729842663053,non_rational_only
37,215650.83457041514,0.657641269259676,0.3029484134254049,0.05626412610441881,non_rational_only
38,217848.579091003,0.6774967985260018,0.2781290018424978,0.06923948264220503,non_rational_only
39,216128.14947414928,0.6878639366119048,0.26517007923511904,0.08043678355378053,non_rational_only
40,219477.04405783472,0.7119980750332884,0.23500240620838952,0.08814199734870747,non_rational_only
41,224892.20524360496,0.7428126775454276,0.19648415306821554,0.09108102707329958,non_rational_only
42,219489.39940817875,0.745148427582816,0.19356446552148,0.08877605623362357,non_rational_only
43,213921.9072666223,0.7471291979219298,0.1910885025975878,0.08168317257509232,non_rational_only
44,208361.69163614558,0.7488194716566964,0.1889756604291295,0.07105597823254728,non_rational_only
45,202700.3888578648,0.7502747889457952,0.1871565138177559,0.05859038021137317,non_rational_only
46,203098.41017270574,0.7702429389263538,0.16219632634205783,0.04598816005026458,non_rational_only
47,197128.6581483163,0.7713594489466342,0.16080068881670717,0.03459218989980945,non_rational_only
48,191143.8474497225,0.7723564270498715,0.15955446618766056,0.025194492499341924,non_rational_only
49,185235.09893548113,0.7732585163354202,0.1584268545807248,0.01803472224684663,non_rational_only
50,184833.44371033597,0.7928014007956312,0.13399824900546098,0.012935679369108824,non_rational_only
