delta_variant,delta_label,delta_value,bid,P0_mean,net_gain_if_accepted,uplift_pct_vs_base,fee_roi,q_low,EV_uplift_low,EV_low,q_central,EV_uplift_central,EV_central,q_high,EV_uplift_high,EV_high,q_stress,EV_uplift_stress,EV_stress,q_weighted,EV_uplift_weighted,EV_weighted
central,Delta_central,1609.8333333333333,0,102898.83333333333,1609.8333333333333,0.015644816186772444,,0.03444519566621117,55.451024156655606,102954.28435748999,0.0066928509242848554,10.774374512944568,102909.60770784627,0.003287661385934009,5.292586887789432,102904.12592022112,0.0009110511944006454,1.4666405811193055,102900.29997391444,0.008966875814585915,14.435175582180893,102913.26850891551
central,Delta_central,1609.8333333333333,10,102898.83333333333,1599.8333333333333,0.01554763335509149,159.98333333333332,0.15886910488091516,254.16408962531742,103152.99742295865,0.02005753653785041,32.08871553780435,102930.92204887113,0.0066928509242848554,10.70744600370172,102909.54077933703,0.0015011822567369917,2.4016414137363973,102901.23497474706,0.03408641296307344,54.53257967209033,102953.36591300541
central,Delta_central,1609.8333333333333,20,102898.83333333333,1589.8333333333333,0.015450450523410535,79.49166666666666,0.5,794.9166666666666,103693.75,0.0585369028743679,93.0639194197659,102991.8972527531,0.013576916943744367,21.58503512106292,102920.4183684544,0.0024726231566347743,3.931058715189852,102902.76439204851,0.10285872970636568,163.5282371115037,103062.36157044483
central,Delta_central,1609.8333333333333,30,102898.83333333333,1579.8333333333333,0.015353267691729578,52.66111111111111,0.8411308951190849,1328.8466258056342,104227.67995913896,0.15886910488091516,250.9867075276991,103149.82004086103,0.027346786796182875,43.203365340169576,102942.0366986735,0.004070137715896128,6.430139234829899,102905.26347256816,0.1985318329164681,313.6472073692001,103212.48054070253
central,Delta_central,1609.8333333333333,40,102898.83333333333,1569.8333333333333,0.015256084860048624,39.24583333333333,0.9655548043337889,1515.7601170033263,104414.59345033666,0.3645764407416393,572.32424922425,103471.15758255759,0.05431326613264062,85.26277561722367,102984.09610895056,0.0066928509242848554,10.506660475973176,102909.3399938093,0.30796170442515897,483.448548996762,103382.28188233009
central,Delta_central,1609.8333333333333,50,102898.83333333333,1559.8333333333333,0.015158902028367668,31.196666666666665,0.9933071490757153,1549.3936013666032,104448.22693469994,0.6354235592583607,991.1548485164996,103889.98818184983,0.10500058502026482,163.78341253410974,103062.61674586743,0.01098694263059318,17.13779934662026,102915.97113267994,0.4363137129653699,680.5766732738163,103579.41000660714
central,Delta_central,1609.8333333333333,60,102898.83333333333,1549.8333333333333,0.015061719196686713,25.830555555555556,0.9987289837369187,1547.863469961601,104446.69680329492,0.8411308951190849,1303.6126989520617,104202.44603228538,0.1933213698023087,299.6159029652781,103198.4492362986,0.01798620996209156,27.875627739581567,102926.70896107292,0.5469560480431781,847.6907151255855,103746.52404845892
central,Delta_central,1609.8333333333333,75,102898.83333333333,1534.8333333333333,0.01491594494916528,20.464444444444442,0.9998955467677858,1534.6730150307565,104433.50634836408,0.9655548043337889,1481.9656988516435,104380.79903218496,0.41165137518528216,631.8162523468773,103530.6495856802,0.03732688734412946,57.29055092534803,102956.12388425868,0.6653006994058875,1021.1256901381363,103919.95902347147
central,Delta_central,1609.8333333333333,100,102898.83333333333,1509.8333333333333,0.014672987869962892,15.098333333333333,0.9999983804058309,1509.8308880160703,104408.6642213494,0.997786824107717,1506.4918065986346,104405.32513993196,0.8066786301976913,1217.9502851601474,104116.78361849347,0.11920292202211755,179.97654509972713,103078.80987843305,0.8089985140665864,1221.4529231548677,104120.2862564882
central,Delta_central,1609.8333333333333,125,102898.83333333333,1484.8333333333333,0.014430030790760504,11.878666666666666,0.999999974890009,1484.8332960491816,104383.66662938251,0.9998621062079837,1484.6285840344876,104383.46191736782,0.9613683488409503,1427.471769970671,104326.305103304,0.320821300824607,476.36616150773733,103375.19949484107,0.8864785384926709,1316.2728832385342,104215.10621657186
central,Delta_central,1609.8333333333333,150,102898.83333333333,1459.8333333333333,0.014187073711558116,9.732222222222221,0.9999999996106983,1459.8333327650178,104358.66666609835,0.9999914251344262,1459.8208154587398,104358.65414879206,0.9933071490757153,1450.0628864590317,104348.89621979235,0.6224593312018546,908.6868803328407,103807.52021366617,0.941357614398368,1374.2252240858843,104273.05855741921
central,Delta_central,1609.8333333333333,175,102898.83333333333,1434.8333333333333,0.013944116632355728,8.199047619047619,0.9999999999939644,1434.833333324673,104333.666666658,0.9999994668403771,1434.8325683381343,104333.66590167147,0.9988714745934305,1433.2140874624738,104332.0474207958,0.8519528019683106,1222.4102786908643,104121.24361202419,0.9774541494085213,1402.4837953763265,104301.31712870965
central,Delta_central,1609.8333333333333,200,102898.83333333333,1409.8333333333333,0.01370115955315334,7.049166666666666,0.9999999999999065,1409.8333333332014,104308.66666666653,0.9999999668499713,1409.8332865973177,104308.66661993065,0.9998105940561749,1409.5663025201973,104308.39963585352,0.9525741268224334,1342.9707564651605,104241.80408979849,0.992829283980192,1399.7238188647407,104298.55715219807
conservative,Delta_conservative,1005.1666666666666,0,102898.83333333333,1005.1666666666666,0.009768494297797352,,0.03444519566621117,34.62316251048659,102933.45649584381,0.0066928509242848554,6.727430654060327,102905.56076398739,0.003287661385934009,3.304647636428001,102902.13798096975,0.0009110511944006454,0.915758292238382,102899.74909162556,0.008966875814585915,9.013204672961278,102907.84653800628
conservative,Delta_conservative,1005.1666666666666,10,102898.83333333333,995.1666666666666,0.009671311466116396,99.51666666666667,0.15886910488091516,158.1012375406574,103056.93457087399,0.02005753653785041,19.960591777917468,102918.79392511124,0.0066928509242848554,6.660502144817478,102905.49383547815,0.0015011822567369917,1.4939265424960961,102900.32725987582,0.03408641296307344,33.92166196708526,102932.75499530042
conservative,Delta_conservative,1005.1666666666666,20,102898.83333333333,985.1666666666666,0.009574128634435441,49.25833333333333,0.5,492.5833333333333,103391.41666666666,0.0585369028743679,57.66860548173144,102956.50193881505,0.013576916943744367,13.375526009078825,102912.20885934241,0.0024726231566347743,2.4359459131446917,102901.26927924648,0.10285872970636568,101.33299188238793,103000.16632521572
conservative,Delta_conservative,1005.1666666666666,30,102898.83333333333,975.1666666666666,0.009476945802754485,32.50555555555555,0.8411308951190849,820.2428112236275,103719.07614455695,0.15886910488091516,154.9238554430391,103053.75718877636,0.027346786796182875,26.667674924077666,102925.5010082574,0.004070137715896128,3.969062629284707,102902.80239596262,0.1985318329164681,193.60162573237577,103092.43495906571
conservative,Delta_conservative,1005.1666666666666,40,102898.83333333333,965.1666666666666,0.00937976297107353,24.129166666666666,0.9655548043337889,931.9213119828286,103830.75464531616,0.3645764407416393,351.8770280558055,103250.71036138914,0.05431326613264062,52.4213540290203,102951.25468736235,0.0066928509242848554,6.459716617088933,102905.29304995041,0.30796170442515897,297.23437172101586,103196.06770505435
conservative,Delta_conservative,1005.1666666666666,50,102898.83333333333,955.1666666666666,0.009282580139392574,19.10333333333333,0.9933071490757153,948.7738785588207,103847.60721189214,0.6354235592583607,606.9354030182775,103505.7687363516,0.10500058502026482,100.29305879185628,102999.12639212518,0.01098694263059318,10.494361369321584,102909.32769470265,0.4363137129653699,416.75231483408925,103315.58564816741
conservative,Delta_conservative,1005.1666666666666,60,102898.83333333333,945.1666666666666,0.00918539730771162,15.752777777777776,0.9987289837369187,943.9653444620109,103842.79867779533,0.8411308951190849,795.0088843700551,103693.84221770338,0.1933213698023087,182.7209146914821,103081.55424802481,0.01798620996209156,16.99996611583687,102915.83329944916,0.5469560480431781,516.9646247421439,103415.79795807548
