scenario,scenario_label,bid,q_accept,delta_key,delta_value,net_gain_if_accepted,uplift_pct_vs_base,fee_roi,ev_uplift,ev_total,cutoff_mean,cutoff_median,cutoff_p25,cutoff_p75,cutoff_p90
R1,R1 — Field conservador,125,0.00023179547492777904,Delta_conservative_mean,1005.1666666666666,880.1666666666666,0.00855370890178541,7.041333333333333,0.20401865051560017,102899.03735198385,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,125,0.00023179547492777904,Delta_conservative_min,851.0,726.0,0.007055473580037351,5.808,0.1682835147975676,102899.00161684812,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,125,0.00023179547492777904,Delta_central_mean,1609.8333333333333,1484.8333333333333,0.014430030790760504,11.878666666666666,0.3441776476885972,102899.17751098101,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,150,0.45831907698415336,Delta_conservative_mean,1005.1666666666666,855.1666666666666,0.008310751822583022,5.701111111111111,391.9391973342818,103290.77253066761,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,150,0.45831907698415336,Delta_conservative_min,851.0,701.0,0.006812516500834963,4.673333333333333,321.2816729658915,103220.11500629922,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,150,0.45831907698415336,Delta_central_mean,1609.8333333333333,1459.8333333333333,0.014187073711558116,9.732222222222221,669.0694658840332,103567.90279921737,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,175,0.99891109078345,Delta_conservative_mean,1005.1666666666666,830.1666666666666,0.008067794743380634,4.7438095238095235,829.2626905320607,103728.0960238654,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,175,0.99891109078345,Delta_conservative_min,851.0,676.0,0.006569559421632574,3.862857142857143,675.2638973696122,103574.09723070294,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,175,0.99891109078345,Delta_central_mean,1609.8333333333333,1434.8333333333333,0.013944116632355728,8.199047619047619,1433.2709300924535,104332.10426342578,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,200,1.0,Delta_conservative_mean,1005.1666666666666,805.1666666666666,0.007824837664178247,4.025833333333333,805.1666666666666,103704.0,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,200,1.0,Delta_conservative_min,851.0,651.0,0.006326602342430186,3.255,651.0,103549.83333333333,150.3007,150.0,150.0,150.0,150.0
R1,R1 — Field conservador,200,1.0,Delta_central_mean,1609.8333333333333,1409.8333333333333,0.01370115955315334,7.049166666666666,1409.8333333333333,104308.66666666666,150.3007,150.0,150.0,150.0,150.0
R2,R2 — Field mixto,125,1.0275420268336622e-05,Delta_conservative_mean,1005.1666666666666,880.1666666666666,0.00855370890178541,7.041333333333333,0.00904408240618095,102898.84237741574,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,125,1.0275420268336622e-05,Delta_conservative_min,851.0,726.0,0.007055473580037351,5.808,0.007459955114812388,102898.84079328844,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,125,1.0275420268336622e-05,Delta_central_mean,1609.8333333333333,1484.8333333333333,0.014430030790760504,11.878666666666666,0.01525728652843516,102898.84859061986,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,150,0.2722131033100009,Delta_conservative_mean,1005.1666666666666,855.1666666666666,0.008310751822583022,5.701111111111111,232.78757218060244,103131.62090551393,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,150,0.2722131033100009,Delta_conservative_min,851.0,701.0,0.006812516500834963,4.673333333333333,190.82138542031066,103089.65471875363,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,150,0.2722131033100009,Delta_central_mean,1609.8333333333333,1459.8333333333333,0.014187073711558116,9.732222222222221,397.38576198204964,103296.21909531538,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,175,0.9864023754017274,Delta_conservative_mean,1005.1666666666666,830.1666666666666,0.008067794743380634,4.7438095238095235,818.878371979334,103717.71170531266,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,175,0.9864023754017274,Delta_conservative_min,851.0,676.0,0.006569559421632574,3.862857142857143,666.8080057715677,103565.6413391049,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,175,0.9864023754017274,Delta_central_mean,1609.8333333333333,1434.8333333333333,0.013944116632355728,8.199047619047619,1415.3230083055785,104314.15634163891,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,200,1.0,Delta_conservative_mean,1005.1666666666666,805.1666666666666,0.007824837664178247,4.025833333333333,805.1666666666666,103704.0,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,200,1.0,Delta_conservative_min,851.0,651.0,0.006326602342430186,3.255,651.0,103549.83333333333,153.1651,150.0,150.0,150.0,175.0
R2,R2 — Field mixto,200,1.0,Delta_central_mean,1609.8333333333333,1409.8333333333333,0.01370115955315334,7.049166666666666,1409.8333333333333,104308.66666666666,153.1651,150.0,150.0,150.0,175.0
R3,R3 — Field adaptativo,125,0.0,Delta_conservative_mean,1005.1666666666666,880.1666666666666,0.00855370890178541,7.041333333333333,0.0,102898.83333333333,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,125,0.0,Delta_conservative_min,851.0,726.0,0.007055473580037351,5.808,0.0,102898.83333333333,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,125,0.0,Delta_central_mean,1609.8333333333333,1484.8333333333333,0.014430030790760504,11.878666666666666,0.0,102898.83333333333,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,150,0.07378212269839035,Delta_conservative_mean,1005.1666666666666,855.1666666666666,0.008310751822583022,5.701111111111111,63.09601192757348,102961.9293452609,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,150,0.07378212269839035,Delta_conservative_min,851.0,701.0,0.006812516500834963,4.673333333333333,51.72126801157164,102950.5546013449,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,150,0.07378212269839035,Delta_central_mean,1609.8333333333333,1459.8333333333333,0.014187073711558116,9.732222222222221,107.70960211920017,103006.54293545253,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,175,0.8873835203398922,Delta_conservative_mean,1005.1666666666666,830.1666666666666,0.008067794743380634,4.7438095238095235,736.6762191355004,103635.50955246882,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,175,0.8873835203398922,Delta_conservative_min,851.0,676.0,0.006569559421632574,3.862857142857143,599.8712597497671,103498.7045930831,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,175,0.8873835203398922,Delta_central_mean,1609.8333333333333,1434.8333333333333,0.013944116632355728,8.199047619047619,1273.2474544343552,104172.08078776769,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,200,0.9999973379324656,Delta_conservative_mean,1005.1666666666666,805.1666666666666,0.007824837664178247,4.025833333333333,805.1645232586235,103703.99785659196,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,200,0.9999973379324656,Delta_conservative_min,851.0,651.0,0.006326602342430186,3.255,650.9982669940351,103549.83160032736,164.7306,175.0,150.0,175.0,175.0
R3,R3 — Field adaptativo,200,0.9999973379324656,Delta_central_mean,1609.8333333333333,1409.8333333333333,0.01370115955315334,7.049166666666666,1409.8295802617877,104308.66291359512,164.7306,175.0,150.0,175.0,175.0
R4,R4 — Field muy agresivo,125,0.0,Delta_conservative_mean,1005.1666666666666,880.1666666666666,0.00855370890178541,7.041333333333333,0.0,102898.83333333333,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,125,0.0,Delta_conservative_min,851.0,726.0,0.007055473580037351,5.808,0.0,102898.83333333333,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,125,0.0,Delta_central_mean,1609.8333333333333,1484.8333333333333,0.014430030790760504,11.878666666666666,0.0,102898.83333333333,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,150,0.010359488958691888,Delta_conservative_mean,1005.1666666666666,855.1666666666666,0.008310751822583022,5.701111111111111,8.859089641174679,102907.6924229745,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,150,0.010359488958691888,Delta_conservative_min,851.0,701.0,0.006812516500834963,4.673333333333333,7.262001760043013,102906.09533509337,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,150,0.010359488958691888,Delta_central_mean,1609.8333333333333,1459.8333333333333,0.014187073711558116,9.732222222222221,15.12312729819704,102913.95646063153,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,175,0.6791035288886081,Delta_conservative_mean,1005.1666666666666,830.1666666666666,0.008067794743380634,4.7438095238095235,563.7691128990261,103462.60244623235,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,175,0.6791035288886081,Delta_conservative_min,851.0,676.0,0.006569559421632574,3.862857142857143,459.0739855286991,103357.90731886202,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,175,0.6791035288886081,Delta_central_mean,1609.8333333333333,1434.8333333333333,0.013944116632355728,8.199047619047619,974.4003800336712,103873.233713367,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,200,0.9998515444556216,Delta_conservative_mean,1005.1666666666666,805.1666666666666,0.007824837664178247,4.025833333333333,805.0471352108514,103703.88046854419,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,200,0.9998515444556216,Delta_conservative_min,851.0,651.0,0.006326602342430186,3.255,650.9033554406096,103549.73668877393,173.0871,175.0,175.0,175.0,175.0
R4,R4 — Field muy agresivo,200,0.9998515444556216,Delta_central_mean,1609.8333333333333,1409.8333333333333,0.01370115955315334,7.049166666666666,1409.6240357583506,104308.45736909167,173.0871,175.0,175.0,175.0,175.0
