product,feature,pairwise_corrs,pairwise_corr_mean
ASH_COATED_OSMIUM,mid_price,"-0.0998, -0.1549, -0.0979",-0.11753932673679594
ASH_COATED_OSMIUM,spread,"-0.1885, 0.0339, -0.0259",-0.06016072896104863
ASH_COATED_OSMIUM,abs_ret,"0.3158, 0.1560, 0.1572",0.20964715914947793
ASH_COATED_OSMIUM,imbalance,"0.1147, 0.1166, -0.0993",0.04402915569240436
ASH_COATED_OSMIUM,trade_count,"-0.0700, -0.1426, -0.1686",-0.12704606557831274
INTARIAN_PEPPER_ROOT,mid_price,"1.0000, 1.0000, 1.0000",0.9999991161652386
INTARIAN_PEPPER_ROOT,spread,"0.6834, 0.6099, 0.5450",0.6127536446594549
INTARIAN_PEPPER_ROOT,abs_ret,"0.3009, 0.2995, 0.1773",0.2592403531635595
INTARIAN_PEPPER_ROOT,imbalance,"-0.0800, -0.0076, 0.0823",-0.0017684178556085183
INTARIAN_PEPPER_ROOT,trade_count,"-0.0508, -0.0490, -0.1019",-0.06719769153386063
