product,day,horizon,corr_imbalance_narrow,corr_imbalance_wide,corr_resid_narrow,corr_resid_wide,narrow_count,wide_count
ASH_COATED_OSMIUM,-2,10,0.5370593052020507,0.5554950652246167,0.5370602923067462,0.55549557139091,6699,2488
ASH_COATED_OSMIUM,-2,50,0.39525979484154833,0.4140046806396769,0.3952619651837788,0.4140059749027363,6699,2488
ASH_COATED_OSMIUM,-1,10,0.5513071111187181,0.5435599370320073,0.5513074751379667,0.5435599789853341,6660,2565
ASH_COATED_OSMIUM,-1,50,0.4073325188522471,0.4199842448207842,0.40733332837844366,0.4199840750581902,6660,2565
ASH_COATED_OSMIUM,0,10,0.5388656953884902,0.5404785301907914,0.5388653254949153,0.5404757529933228,6614,2618
ASH_COATED_OSMIUM,0,50,0.3851174207723885,0.39230007052827437,0.38511899123313686,0.392300089509855,6614,2618
INTARIAN_PEPPER_ROOT,-2,10,0.5646030308270333,0.7188812924663223,0.5653961521020515,0.7199941788202638,6561,2655
INTARIAN_PEPPER_ROOT,-2,50,0.5708622301036549,0.7123424225917503,0.5763905241368318,0.715696235580791,6561,2655
INTARIAN_PEPPER_ROOT,-1,10,0.599690754387315,0.7094727130085813,0.599304635955507,0.7093009120591874,6570,2649
INTARIAN_PEPPER_ROOT,-1,50,0.5881228287027908,0.71772649780811,0.5925428806260313,0.7206500369357135,6570,2649
INTARIAN_PEPPER_ROOT,0,10,0.6039922501693449,0.7169917838868396,0.6040241676613071,0.7169927141989024,6520,2733
INTARIAN_PEPPER_ROOT,0,50,0.5863574851237243,0.7021613551253921,0.5879671044079247,0.7058374585178527,6520,2733
