scenario_family,scenario_family_label,delta_name,delta_value,bid,weighted_acceptance,q_low_competition,ev_low_competition,q_central,ev_central,q_high_competition,ev_high_competition,weighted_ev,q_mild,ev_mild,q_high,ev_high
moderate_alt,Moderate alternative,central,6519.0,0,0.005445052061171352,,,0.0024726231566347743,16.119030358102094,,,35.49629438677605,0.015267153880374444,99.526576146161,0.003851032355930255,25.104879928309334
moderate_alt,Moderate alternative,central,6519.0,10,0.020525916743676594,,,0.0066928509242848554,43.563766666170125,,,133.60319208459094,0.07585818002124355,493.7608937582742,0.0066928509242848554,43.563766666170125
moderate_alt,Moderate alternative,central,6519.0,25,0.1192362615397905,,,0.02931223075135632,190.35362649930795,,,774.3202824393995,0.5,3247.0,0.015267153880374444,99.14489729915164
moderate_alt,Moderate alternative,central,6519.0,40,0.25476338370667345,,,0.11920292202211755,772.3157317812996,,,1650.6119630355372,0.9241418199787566,5987.514851642363,0.03444519566621117,223.17042272138215
moderate_alt,Moderate alternative,central,6519.0,50,0.348978350771233,,,0.2689414213699951,1739.7820548424984,,,2257.5409511391063,0.9847328461196255,6370.236781547857,0.0585369028743679,378.67522469428593
moderate_alt,Moderate alternative,central,6519.0,60,0.4787478299967614,,,0.5,3229.5,,,3092.2322339490815,0.9970802502076079,6440.14133609094,0.09777259985079931,631.5132224363127
moderate_alt,Moderate alternative,central,6519.0,75,0.6686147353503779,,,0.8175744761936437,5268.44992459184,,,4308.553354597835,0.9997596882871811,6442.4514313225945,0.19958519865373253,1286.1270201246525
moderate_alt,Moderate alternative,central,6519.0,90,0.785656049565939,,,0.9525741268224334,6124.099061341424,,,5050.982742659422,0.9999802696611528,6428.873153651552,0.3645764407416393,2343.861937527999
moderate_alt,Moderate alternative,central,6519.0,100,0.8410061496910974,,,0.9820137900379085,6303.546518253334,,,5398.418474867154,0.9999962733607158,6418.976078702435,0.5,3209.5
moderate_alt,Moderate alternative,central,6519.0,125,0.9393738377200154,,,0.998498817743263,6384.401440650424,,,6006.356318381779,0.9999999422225181,6393.999630570781,0.8004148013462675,5117.852239808035
moderate_alt,Moderate alternative,central,6519.0,150,0.9823772316705417,,,0.9998766054240137,6368.214099945543,,,6256.760588509681,0.9999999991042263,6368.999994294817,0.941463097125632,5996.178465593151
moderate_alt,Moderate alternative,central,6519.0,175,0.9954147888376197,,,0.9999898700090192,6343.935735337218,,,6314.911420385859,0.999999999986112,6343.9999999118945,0.9847328461196255,6247.1451757829045
