day,timestamp,pnl,position
-2,0,0.0,0
-2,100,0.0,0
-2,200,0.0,0
-2,300,0.0,0
-2,400,0.0,0
-2,500,0.0,0
-2,600,0.0,0
-2,700,-66.0,12
-2,800,-78.0,12
-2,900,-66.0,12
-2,1000,-66.0,12
-2,1100,20.0,19
-2,1200,-37.0,19
-2,1300,-8.5,19
-2,1400,-8.5,19
-2,1500,-8.5,19
-2,1600,-27.5,19
-2,1700,-8.5,19
-2,1800,-8.5,19
-2,1900,-36.0,11
-2,2000,-58.0,11
-2,2100,-30.5,11
-2,2200,-58.0,11
-2,2300,-58.0,11
-2,2400,-41.5,11
-2,2500,-41.5,11
-2,2600,-52.5,11
-2,2700,-95.0,1
-2,2800,-96.5,1
-2,2900,-96.5,1
-2,3000,-96.0,1
-2,3100,-94.5,1
-2,3200,-96.0,1
-2,3300,-95.5,1
-2,3400,-95.5,1
-2,3500,-94.0,1
-2,3600,-95.5,1
-2,3700,-95.5,1
-2,3800,-94.0,1
-2,3900,-95.5,1
-2,4000,-216.5,-17
-2,4100,-55.0,-17
-2,4200,-140.0,-17
-2,4300,-242.0,-17
-2,4400,-267.0,1
-2,4500,-265.5,1
-2,4600,-265.5,1
-2,4700,-264.0,1
-2,4800,-265.5,1
-2,4900,-325.0,10
-2,5000,-310.0,10
-2,5100,-349.5,17
-2,5200,-531.0,35
-2,5300,-434.0,24
-2,5400,-434.0,24
-2,5500,-470.0,24
-2,5600,-434.0,24
-2,5700,-434.0,24
-2,5800,-566.0,24
-2,5900,-434.0,24
-2,6000,-446.0,24
-2,6100,-410.0,24
-2,6200,-454.0,16
-2,6300,-454.0,16
-2,6400,-454.0,16
-2,6500,-454.0,16
-2,6600,-470.0,16
-2,6700,-366.0,16
-2,6800,-454.0,16
-2,6900,-454.0,16
-2,7000,-446.0,16
-2,7100,-438.0,16
-2,7200,-438.0,16
-2,7300,-438.0,16
-2,7400,-487.0,6
-2,7500,-460.0,6
-2,7600,-493.0,6
-2,7700,-493.0,6
-2,7800,-493.0,6
-2,7900,-493.0,6
-2,8000,-454.0,6
-2,8100,-496.0,6
-2,8200,-487.0,6
-2,8300,-487.0,6
-2,8400,-487.0,6
-2,8500,-487.0,6
-2,8600,-478.0,6
-2,8700,-487.0,6
-2,8800,-487.0,6
-2,8900,-487.0,6
-2,9000,-520.0,6
-2,9100,-481.0,6
-2,9200,-540.0,-4
-2,9300,-536.0,-4
-2,9400,-514.0,-4
-2,9500,-530.0,-4
-2,9600,-532.0,-4
-2,9700,-536.0,-4
-2,9800,-536.0,-4
-2,9900,-558.0,-4
-2,10000,-538.0,-4
-2,10100,-540.0,-4
-2,10200,-540.0,-4
-2,10300,-544.0,-4
-2,10400,-590.0,-15
-2,10500,-720.5,-29
-2,10600,-654.0,-20
-2,10700,-720.0,-8
-2,10800,-732.0,-8
-2,10900,-732.0,-8
-2,11000,-724.0,-8
-2,11100,-728.0,-8
-2,11200,-728.0,-8
-2,11300,-855.0,10
-2,11400,-800.0,10
-2,11500,-810.0,10
-2,11600,-810.0,10
-2,11700,-810.0,10
-2,11800,-810.0,10
-2,11900,-795.0,10
-2,12000,-805.0,10
-2,12100,-800.0,10
-2,12200,-800.0,10
-2,12300,-800.0,10
-2,12400,-815.0,10
-2,12500,-745.0,10
-2,12600,-800.0,10
-2,12700,-745.0,10
-2,12800,-800.0,10
-2,12900,-810.0,10
-2,13000,-795.0,10
-2,13100,-790.0,10
-2,13200,-780.0,10
-2,13300,-790.0,10
-2,13400,-805.0,10
-2,13500,-790.0,10
-2,13600,-790.0,10
-2,13700,-790.0,10
-2,13800,-790.0,10
-2,13900,-800.0,10
